IssueId,IssueNumber,IssueUrl,ProjectAdded,Result
F2-EPIC-120,84,https://github.com/duksh/FiceCal/issues/84,yes,ok
F2-STORY-121,85,https://github.com/duksh/FiceCal/issues/85,yes,ok
F2-STORY-122,86,https://github.com/duksh/FiceCal/issues/86,yes,ok
F2-TASK-123,87,https://github.com/duksh/FiceCal/issues/87,yes,ok
F2-TASK-124,88,https://github.com/duksh/FiceCal/issues/88,yes,ok
F2-TASK-125,89,https://github.com/duksh/FiceCal/issues/89,yes,ok
F2-TASK-126,90,https://github.com/duksh/FiceCal/issues/90,yes,ok
F2-TASK-127,91,https://github.com/duksh/FiceCal/issues/91,yes,ok
F2-TASK-128,92,https://github.com/duksh/FiceCal/issues/92,yes,ok
F2-TASK-129,93,https://github.com/duksh/FiceCal/issues/93,yes,ok
F2-EPIC-135,94,https://github.com/duksh/FiceCal/issues/94,yes,ok
F2-STORY-136,95,https://github.com/duksh/FiceCal/issues/95,yes,ok
F2-STORY-137,96,https://github.com/duksh/FiceCal/issues/96,yes,ok
F2-TASK-138,97,https://github.com/duksh/FiceCal/issues/97,yes,ok
F2-TASK-139,98,https://github.com/duksh/FiceCal/issues/98,yes,ok
F2-TASK-140,99,https://github.com/duksh/FiceCal/issues/99,yes,ok
F2-TASK-141,100,https://github.com/duksh/FiceCal/issues/100,yes,ok
F2-TASK-142,101,https://github.com/duksh/FiceCal/issues/101,yes,ok
F2-EPIC-145,102,https://github.com/duksh/FiceCal/issues/102,yes,ok
F2-STORY-146,103,https://github.com/duksh/FiceCal/issues/103,yes,ok
F2-STORY-147,104,https://github.com/duksh/FiceCal/issues/104,yes,ok
F2-TASK-148,105,https://github.com/duksh/FiceCal/issues/105,yes,ok
F2-TASK-149,106,https://github.com/duksh/FiceCal/issues/106,yes,ok
F2-TASK-150,107,https://github.com/duksh/FiceCal/issues/107,yes,ok
F2-TASK-151,108,https://github.com/duksh/FiceCal/issues/108,yes,ok
F2-TASK-152,109,https://github.com/duksh/FiceCal/issues/109,yes,ok
F2-EPIC-155,110,https://github.com/duksh/FiceCal/issues/110,yes,ok
F2-STORY-156,111,https://github.com/duksh/FiceCal/issues/111,yes,ok
F2-STORY-157,112,https://github.com/duksh/FiceCal/issues/112,yes,ok
F2-TASK-158,113,https://github.com/duksh/FiceCal/issues/113,yes,ok
F2-TASK-159,114,https://github.com/duksh/FiceCal/issues/114,yes,ok
F2-TASK-160,115,https://github.com/duksh/FiceCal/issues/115,yes,ok
F2-TASK-161,116,https://github.com/duksh/FiceCal/issues/116,yes,ok
F2-TASK-162,117,https://github.com/duksh/FiceCal/issues/117,yes,ok
